,key_id,Name,userid,PriceFinal,DLCCount,behavior,hours,IsFree,Metacritic
11031,104157,A Valley Without Wind 2,71527252,14.99,0,play,0.1,True,68
11665,104155,A Valley Without Wind 2,975449,14.99,0,play,0.5,True,68
11685,104148,A Valley Without Wind,47457723,14.99,0,play,1.3,True,54
11707,104146,A Valley Without Wind,49228258,14.99,0,play,1.7,True,54
11709,104144,A Valley Without Wind,36557643,14.99,0,play,0.4,True,54
11710,104142,A Valley Without Wind,71527252,14.99,0,play,1.2,True,54
11711,104139,A Valley Without Wind,138941587,14.99,0,play,0.9,True,54
11712,104135,A Valley Without Wind,33013552,14.99,0,play,1.2,True,54
17784,71661,Penumbra Overture,26762388,9.99,0,play,5.3,True,73
17785,71663,Penumbra Overture,92593907,9.99,0,play,0.6,True,73
17786,71665,Penumbra Overture,47457723,9.99,0,play,1.4,True,73
17787,71667,Penumbra Overture,135400225,9.99,0,play,1.5,True,73
17798,71659,Penumbra Overture,51822361,9.99,0,play,3.9,True,73
17799,71656,Penumbra Overture,19085114,9.99,0,play,1.0,True,73
17800,71652,Penumbra Overture,36557643,9.99,0,play,0.5,True,73
17801,71650,Penumbra Overture,48798067,9.99,0,play,0.8,True,73
17802,71647,Penumbra Overture,17530772,9.99,0,play,8.4,True,73
17803,71645,Penumbra Overture,127272741,9.99,0,play,0.7,True,73
17804,71641,Penumbra Overture,34919318,9.99,0,play,3.4,True,73
17805,71639,Penumbra Overture,42771635,9.99,0,play,0.2,True,73
17806,71637,Penumbra Overture,33865373,9.99,0,play,1.1,True,73
17807,71634,Penumbra Overture,70408902,9.99,0,play,0.4,True,73
17808,71631,Penumbra Overture,49893565,9.99,0,play,0.4,True,73
17809,71622,Penumbra Overture,11373749,9.99,0,play,6.6,True,73
17810,71620,Penumbra Overture,65117175,9.99,0,play,0.4,True,73
22926,86483,DOOM 3,22301321,4.99,0,play,0.4,True,87
22927,86496,DOOM 3,41719717,4.99,0,play,0.6,True,87
22928,86494,DOOM 3,10599862,4.99,0,play,0.4,True,87
22929,86492,DOOM 3,48798067,4.99,0,play,8.3,True,87
22930,86490,DOOM 3,17530772,4.99,0,play,0.4,True,87
22931,86488,DOOM 3,90272527,4.99,0,play,1.9,True,87
22932,86486,DOOM 3,27279261,4.99,0,play,10.5,True,87
22936,86481,DOOM 3,47384202,4.99,0,play,6.0,True,87
22937,86478,DOOM 3,55426012,4.99,0,play,0.5,True,87
22938,86476,DOOM 3,89005236,4.99,0,play,24.0,True,87
22939,86474,DOOM 3,209006754,4.99,0,play,0.2,True,87
22940,86472,DOOM 3,33706322,4.99,0,play,1.3,True,87
22941,86498,DOOM 3,116876958,4.99,0,play,0.5,True,87
22942,86501,DOOM 3,33518079,4.99,0,play,0.9,True,87
22943,86503,DOOM 3,30519870,4.99,0,play,1.0,True,87
22944,86508,DOOM 3,100096071,4.99,0,play,2.8,True,87
22945,86511,DOOM 3,35864169,4.99,0,play,8.8,True,87
22946,86513,DOOM 3,47457723,4.99,0,play,0.4,True,87
22947,86515,DOOM 3,162288536,4.99,0,play,1.4,True,87
22958,86468,DOOM 3,80779496,4.99,0,play,0.4,True,87
23615,105294,Avernum 4,74772820,4.99,0,play,228.0,True,0
24838,7337,Team Fortress 2,159688146,0.0,0,play,4.1,True,92
24839,86876,The Mighty Quest For Epic Loot,75155353,0.0,0,play,137.0,True,64
24840,86873,The Mighty Quest For Epic Loot,170201716,0.0,0,play,13.3,True,64
24841,86878,The Mighty Quest For Epic Loot,143877335,0.0,0,play,28.0,True,64
24842,7363,Team Fortress 2,171015775,0.0,0,play,6.4,True,92
24843,86881,The Mighty Quest For Epic Loot,158277459,0.0,0,play,1.2,True,64
24844,86869,The Mighty Quest For Epic Loot,11970504,0.0,0,play,1.8,True,64
24845,7335,Team Fortress 2,131096906,0.0,0,play,604.0,True,92
24846,7333,Team Fortress 2,75457821,0.0,0,play,4.0,True,92
24847,86830,The Mighty Quest For Epic Loot,77194086,0.0,0,play,0.7,True,64
24848,86828,The Mighty Quest For Epic Loot,92958887,0.0,0,play,2.0,True,64
24849,86825,The Mighty Quest For Epic Loot,142775542,0.0,0,play,11.8,True,64
24850,86823,The Mighty Quest For Epic Loot,96400571,0.0,0,play,48.0,True,64
24851,86819,The Mighty Quest For Epic Loot,121497634,0.0,0,play,5.2,True,64
24852,86891,The Mighty Quest For Epic Loot,51822361,0.0,0,play,54.0,True,64
24853,86893,The Mighty Quest For Epic Loot,114030647,0.0,0,play,8.4,True,64
24854,86895,The Mighty Quest For Epic Loot,54212914,0.0,0,play,3.4,True,64
24855,86871,The Mighty Quest For Epic Loot,224070533,0.0,0,play,1.9,True,64
24856,86849,The Mighty Quest For Epic Loot,210018093,0.0,0,play,37.0,True,64
24857,86867,The Mighty Quest For Epic Loot,153991478,0.0,0,play,15.8,True,64
24858,7347,Team Fortress 2,186932671,0.0,0,play,3.8,True,92
24859,7369,Team Fortress 2,182732657,0.0,0,play,0.7,True,92
24860,7367,Team Fortress 2,140408017,0.0,0,play,2.4,True,92
24861,7341,Team Fortress 2,89527544,0.0,0,play,0.3,True,92
24862,7343,Team Fortress 2,77818807,0.0,0,play,0.8,True,92
24863,7365,Team Fortress 2,80650761,0.0,0,play,0.3,True,92
24864,7345,Team Fortress 2,134223421,0.0,0,play,2296.0,True,92
24865,7349,Team Fortress 2,201152238,0.0,0,play,4.2,True,92
24866,86864,The Mighty Quest For Epic Loot,261602452,0.0,0,play,48.0,True,64
24867,7351,Team Fortress 2,155673786,0.0,0,play,30.0,True,92
24868,7353,Team Fortress 2,124443679,0.0,0,play,3.2,True,92
24869,7355,Team Fortress 2,237881427,0.0,0,play,0.6,True,92
24870,86835,The Mighty Quest For Epic Loot,82352462,0.0,0,play,1.7,True,64
24871,7357,Team Fortress 2,163432200,0.0,0,play,0.3,True,92
24872,7359,Team Fortress 2,79155765,0.0,0,play,6.6,True,92
24873,7339,Team Fortress 2,87601937,0.0,0,play,6.9,True,92
24874,86832,The Mighty Quest For Epic Loot,95181268,0.0,0,play,26.0,True,64
24875,7371,Team Fortress 2,96836693,0.0,0,play,12.8,True,92
24876,7373,Team Fortress 2,101892097,0.0,0,play,0.9,True,92
24877,88457,Time Clickers,213610494,0.0,0,play,6.6,True,0
24878,7257,Team Fortress 2,83758973,0.0,0,play,0.4,True,92
24879,86837,The Mighty Quest For Epic Loot,9563573,0.0,0,play,0.6,True,64
24880,86842,The Mighty Quest For Epic Loot,115487966,0.0,0,play,1.2,True,64
24881,86844,The Mighty Quest For Epic Loot,167118460,0.0,0,play,9.9,True,64
24882,86847,The Mighty Quest For Epic Loot,99374297,0.0,0,play,0.3,True,64
24883,7361,Team Fortress 2,92593907,0.0,0,play,50.0,True,92
24884,86851,The Mighty Quest For Epic Loot,135244036,0.0,0,play,1.6,True,64
24885,86853,The Mighty Quest For Epic Loot,127426141,0.0,0,play,2.0,True,64
24886,86855,The Mighty Quest For Epic Loot,30061970,0.0,0,play,21.0,True,64
24887,86858,The Mighty Quest For Epic Loot,198914333,0.0,0,play,1.9,True,64
24888,86860,The Mighty Quest For Epic Loot,103731895,0.0,0,play,0.7,True,64
24889,86862,The Mighty Quest For Epic Loot,174762197,0.0,0,play,1.6,True,64
24890,86897,The Mighty Quest For Epic Loot,77980915,0.0,0,play,33.0,True,64
24891,7417,Team Fortress 2,293959803,0.0,0,play,9.1,True,92
24892,86899,The Mighty Quest For Epic Loot,137334839,0.0,0,play,21.0,True,64
24893,7427,Team Fortress 2,36978196,0.0,0,play,57.0,True,92
24894,7431,Team Fortress 2,186903958,0.0,0,play,0.3,True,92
24895,7433,Team Fortress 2,258020559,0.0,0,play,7.3,True,92
