,key_id,Name,userid,PriceFinal,DLCCount,behavior,hours,IsFree,Metacritic
0,98841,Clickteam Fusion 2.5,12610800,99.99,6,play,0.3,False,0
1,105997,RPG Maker MV,88199811,79.99,24,play,55.0,False,0
2,50084,RPG Maker VX Ace,94521606,69.99,101,play,2.4,False,0
3,50082,RPG Maker VX Ace,47457723,69.99,101,play,1.2,False,0
4,50020,RPG Maker VX Ace,64787956,69.99,101,play,53.0,False,0
5,50022,RPG Maker VX Ace,48028873,69.99,101,play,18.6,False,0
6,50024,RPG Maker VX Ace,84455820,69.99,101,play,9.8,False,0
7,50028,RPG Maker VX Ace,150789931,69.99,101,play,8.8,False,0
8,50034,RPG Maker VX Ace,101687527,69.99,101,play,40.0,False,0
9,50036,RPG Maker VX Ace,24721232,69.99,101,play,0.4,False,0
10,50038,RPG Maker VX Ace,138941587,69.99,101,play,2.4,False,0
11,50041,RPG Maker VX Ace,20366600,69.99,101,play,21.0,False,0
12,50043,RPG Maker VX Ace,44472980,69.99,101,play,2.9,False,0
13,50045,RPG Maker VX Ace,71527252,69.99,101,play,0.2,False,0
14,50048,RPG Maker VX Ace,80630217,69.99,101,play,1.1,False,0
15,50050,RPG Maker VX Ace,298306205,69.99,101,play,32.0,False,0
16,50052,RPG Maker VX Ace,62990992,69.99,101,play,0.9,False,0
17,50086,RPG Maker VX Ace,42657809,69.99,101,play,6.4,False,0
18,50059,RPG Maker VX Ace,26302344,69.99,101,play,0.4,False,0
19,50061,RPG Maker VX Ace,5990132,69.99,101,play,63.0,False,0
20,50063,RPG Maker VX Ace,114727578,69.99,101,play,13.8,False,0
21,50065,RPG Maker VX Ace,40212239,69.99,101,play,0.1,False,0
22,50067,RPG Maker VX Ace,112626210,69.99,101,play,0.5,False,0
23,50069,RPG Maker VX Ace,144071257,69.99,101,play,214.0,False,0
24,50071,RPG Maker VX Ace,156379077,69.99,101,play,1.6,False,0
25,50074,RPG Maker VX Ace,129925351,69.99,101,play,9.8,False,0
26,50076,RPG Maker VX Ace,39361297,69.99,101,play,0.2,False,0
27,50078,RPG Maker VX Ace,87694960,69.99,101,play,2.6,False,0
28,50080,RPG Maker VX Ace,119239620,69.99,101,play,3.4,False,0
29,50055,RPG Maker VX Ace,108454875,69.99,101,play,20.0,False,0
30,50031,RPG Maker VX Ace,106066141,69.99,101,play,5.7,False,0
31,24657,Grand Theft Auto V,107818793,59.99,0,play,63.0,False,96
32,24548,Grand Theft Auto V,227490126,59.99,0,play,13.4,False,96
33,24576,Grand Theft Auto V,179936723,59.99,0,play,10.8,False,96
34,24574,Grand Theft Auto V,11978743,59.99,0,play,0.8,False,96
35,24572,Grand Theft Auto V,259038184,59.99,0,play,96.0,False,96
36,24570,Grand Theft Auto V,46637811,59.99,0,play,93.0,False,96
37,24568,Grand Theft Auto V,115008799,59.99,0,play,6.9,False,96
38,24566,Grand Theft Auto V,22371742,59.99,0,play,7.3,False,96
39,24564,Grand Theft Auto V,36546868,59.99,0,play,73.0,False,96
40,24562,Grand Theft Auto V,99723205,59.99,0,play,11.9,False,96
41,24560,Grand Theft Auto V,141408990,59.99,0,play,47.0,False,96
42,24558,Grand Theft Auto V,224998865,59.99,0,play,158.0,False,96
43,24556,Grand Theft Auto V,173940259,59.99,0,play,26.0,False,96
44,24554,Grand Theft Auto V,110906645,59.99,0,play,297.0,False,96
45,24552,Grand Theft Auto V,127461743,59.99,0,play,177.0,False,96
46,24550,Grand Theft Auto V,234190577,59.99,0,play,212.0,False,96
47,24546,Grand Theft Auto V,58907890,59.99,0,play,89.0,False,96
48,24580,Grand Theft Auto V,33282871,59.99,0,play,4.2,False,96
49,24544,Grand Theft Auto V,189813843,59.99,0,play,75.0,False,96
50,24542,Grand Theft Auto V,287848624,59.99,0,play,1.4,False,96
51,24540,Grand Theft Auto V,2259650,59.99,0,play,4.3,False,96
52,24538,Grand Theft Auto V,77124916,59.99,0,play,460.0,False,96
53,24536,Grand Theft Auto V,126269125,59.99,0,play,11.8,False,96
54,24534,Grand Theft Auto V,59790700,59.99,0,play,42.0,False,96
55,24532,Grand Theft Auto V,233104650,59.99,0,play,273.0,False,96
56,24530,Grand Theft Auto V,135066372,59.99,0,play,21.0,False,96
57,24528,Grand Theft Auto V,9128105,59.99,0,play,8.6,False,96
58,24526,Grand Theft Auto V,111754806,59.99,0,play,128.0,False,96
59,24524,Grand Theft Auto V,186673066,59.99,0,play,2.5,False,96
60,24522,Grand Theft Auto V,212466515,59.99,0,play,34.0,False,96
61,24520,Grand Theft Auto V,39622853,59.99,0,play,64.0,False,96
62,24518,Grand Theft Auto V,24469287,59.99,0,play,34.0,False,96
63,24578,Grand Theft Auto V,49669626,59.99,0,play,20.0,False,96
64,24582,Grand Theft Auto V,49893565,59.99,0,play,23.0,False,96
65,24930,Grand Theft Auto V,184314651,59.99,0,play,4.7,False,96
66,24960,Grand Theft Auto V,79319075,59.99,0,play,347.0,False,96
67,24934,Grand Theft Auto V,75457821,59.99,0,play,11.9,False,96
68,24936,Grand Theft Auto V,77818807,59.99,0,play,47.0,False,96
69,24938,Grand Theft Auto V,125912054,59.99,0,play,65.0,False,96
70,24940,Grand Theft Auto V,208616727,59.99,0,play,30.0,False,96
71,24942,Grand Theft Auto V,162319568,59.99,0,play,39.0,False,96
72,24653,Grand Theft Auto V,88883891,59.99,0,play,36.0,False,96
73,24944,Grand Theft Auto V,60439399,59.99,0,play,43.0,False,96
74,24946,Grand Theft Auto V,66596291,59.99,0,play,109.0,False,96
75,24948,Grand Theft Auto V,133378280,59.99,0,play,144.0,False,96
76,24950,Grand Theft Auto V,74764496,59.99,0,play,82.0,False,96
77,24952,Grand Theft Auto V,34281672,59.99,0,play,0.2,False,96
78,24954,Grand Theft Auto V,212078557,59.99,0,play,21.0,False,96
79,24956,Grand Theft Auto V,194854693,59.99,0,play,74.0,False,96
80,24958,Grand Theft Auto V,125682446,59.99,0,play,823.0,False,96
81,24962,Grand Theft Auto V,175941533,59.99,0,play,64.0,False,96
82,24584,Grand Theft Auto V,103260848,59.99,0,play,495.0,False,96
83,24964,Grand Theft Auto V,177213985,59.99,0,play,177.0,False,96
84,24966,Grand Theft Auto V,92276000,59.99,0,play,48.0,False,96
85,24968,Grand Theft Auto V,112845094,59.99,0,play,116.0,False,96
86,24970,Grand Theft Auto V,138958592,59.99,0,play,23.0,False,96
87,24972,Grand Theft Auto V,206896748,59.99,0,play,11.9,False,96
88,24974,Grand Theft Auto V,42657809,59.99,0,play,14.8,False,96
